track_id,genre,danceability,energy,valence,acousticness,speechiness,tempo,loudness,duration_min,popularity,hit
T1000,R&B,0.479,0.649,0.67,0.258,0.126,98.5,-5.96,2.18,44.5,0
T1001,Acoustic,0.394,0.332,0.314,0.689,0.053,113.3,-9.67,3.54,30.8,0
T1002,Hip-Hop,0.778,0.573,0.513,0.159,0.149,105.2,-7.7,3.26,62.9,0
T1003,Hip-Hop,0.736,0.595,0.488,0.02,0.183,110.6,-4.69,3.03,69.1,0
T1004,Hip-Hop,0.761,0.718,0.378,0.411,0.235,98.0,-6.77,3.06,79.6,1
T1005,Rock,0.582,0.826,0.421,0.118,0.02,121.1,-6.41,3.8,68.1,0
T1006,Rock,0.542,0.865,0.711,0.172,0.078,126.4,-5.28,4.28,75.0,1
T1007,EDM,0.826,0.682,0.595,0.127,0.182,144.3,-2.31,3.42,79.2,1
T1008,R&B,0.699,0.486,0.655,0.097,0.089,96.3,-8.35,3.54,80.2,1
T1009,Pop,0.569,0.724,0.304,0.309,0.146,101.2,-5.75,4.14,74.0,1
T1010,Rock,0.547,0.778,0.729,0.02,0.066,126.3,-12.03,3.5,57.1,0
T1011,Acoustic,0.556,0.388,0.615,0.923,0.02,101.0,-9.19,4.11,16.5,0
T1012,EDM,0.703,0.929,0.271,0.096,0.037,125.6,-1.67,2.63,82.6,1
T1013,Acoustic,0.551,0.178,0.535,0.84,0.1,139.8,-7.41,3.17,25.0,0
T1014,Pop,0.58,0.403,0.548,0.293,0.057,116.9,-4.22,3.9,67.8,0
T1015,R&B,0.677,0.477,0.454,0.471,0.133,125.2,-11.57,3.04,52.3,0
T1016,Acoustic,0.43,0.339,0.567,0.739,0.035,106.8,-6.47,2.86,25.3,0
T1017,Hip-Hop,0.732,0.412,0.571,0.111,0.211,109.5,-8.22,2.0,46.0,0
T1018,Hip-Hop,0.99,0.706,0.572,0.02,0.17,88.4,-6.19,3.2,77.9,1
T1019,Pop,0.789,0.839,0.511,0.323,0.02,133.3,-5.61,4.08,90.9,1
T1020,R&B,0.64,0.443,0.597,0.322,0.156,108.1,-6.81,3.81,51.7,0
T1021,R&B,0.66,0.698,0.349,0.262,0.044,100.5,-6.06,3.75,55.6,0
T1022,R&B,0.707,0.504,0.616,0.038,0.138,107.7,-13.05,3.78,63.5,0
T1023,R&B,0.717,0.631,0.623,0.049,0.164,103.3,-8.62,3.36,59.5,0
T1024,Acoustic,0.527,0.195,0.27,0.841,0.022,96.4,-10.37,3.42,7.2,0
T1025,Hip-Hop,0.794,0.581,0.788,0.02,0.249,91.2,-4.53,2.4,61.4,0
T1026,Acoustic,0.381,0.643,0.572,0.798,0.026,111.5,-12.69,3.19,32.9,0
T1027,Acoustic,0.531,0.248,0.404,0.764,0.02,110.1,-11.44,3.76,16.0,0
T1028,R&B,0.578,0.582,0.179,0.252,0.02,91.1,-7.73,3.67,62.6,0
T1029,R&B,0.636,0.446,0.519,0.488,0.178,109.0,-7.78,3.05,45.0,0
T1030,Rock,0.417,0.758,0.643,0.128,0.085,127.6,-9.11,3.32,40.1,0
T1031,Hip-Hop,0.917,0.455,0.43,0.094,0.142,69.3,-6.36,3.72,83.2,1
T1032,R&B,0.598,0.706,0.315,0.185,0.087,103.4,-7.35,3.97,34.9,0
T1033,Rock,0.643,0.99,0.705,0.308,0.046,98.3,-6.64,4.39,68.3,0
T1034,Pop,0.695,0.478,0.393,0.02,0.042,92.7,-5.19,2.64,89.5,1
T1035,Hip-Hop,0.889,0.59,0.595,0.114,0.209,84.8,-5.98,2.66,81.0,1
T1036,Hip-Hop,0.829,0.797,0.49,0.268,0.338,102.8,-5.37,3.07,79.3,1
T1037,Hip-Hop,0.824,0.591,0.372,0.089,0.184,105.1,-2.04,2.34,68.0,0
T1038,R&B,0.501,0.321,0.597,0.337,0.073,90.1,-5.36,3.98,47.6,0
T1039,Pop,0.673,0.771,0.3,0.268,0.051,129.9,-4.39,3.23,73.5,1
T1040,Acoustic,0.293,0.195,0.508,0.906,0.082,100.6,-7.47,4.3,14.1,0
T1041,Hip-Hop,0.763,0.658,0.723,0.159,0.236,94.0,-6.85,2.59,85.9,1
T1042,Acoustic,0.562,0.274,0.457,0.85,0.02,133.4,-9.35,2.73,5.4,0
T1043,Rock,0.248,0.843,0.665,0.186,0.02,111.6,-7.05,3.3,52.4,0
T1044,Rock,0.279,0.844,0.362,0.118,0.078,113.2,-7.19,4.01,74.8,1
T1045,Hip-Hop,0.839,0.762,0.557,0.258,0.18,98.0,-7.17,3.41,76.8,1
T1046,Hip-Hop,0.899,0.569,0.751,0.089,0.216,108.7,-3.74,1.63,97.8,1
T1047,Pop,0.911,0.39,0.02,0.221,0.047,123.2,-4.45,3.7,76.9,1
T1048,EDM,0.727,0.725,0.337,0.213,0.04,129.1,-5.54,3.26,84.8,1
T1049,Rock,0.431,0.638,0.853,0.118,0.02,116.1,-4.23,3.75,74.6,1
T1050,EDM,0.754,0.7,0.321,0.02,0.092,127.6,-1.57,4.61,52.8,0
T1051,Hip-Hop,0.916,0.766,0.375,0.389,0.19,106.7,-5.63,2.49,65.4,0
T1052,R&B,0.723,0.663,0.606,0.279,0.089,76.7,-7.74,3.17,82.4,1
T1053,R&B,0.777,0.504,0.418,0.314,0.07,102.7,-7.49,3.66,64.2,0
T1054,Hip-Hop,0.832,0.507,0.375,0.141,0.219,93.4,-3.61,3.52,70.3,1
T1055,EDM,0.764,0.99,0.39,0.02,0.123,126.8,-3.33,3.73,89.4,1
T1056,Pop,0.727,0.781,0.482,0.195,0.107,109.7,-3.41,2.45,67.0,0
T1057,Hip-Hop,0.91,0.648,0.729,0.033,0.207,111.9,-6.64,4.18,79.1,1
T1058,Pop,0.727,0.657,0.473,0.078,0.086,110.6,-5.08,2.14,62.0,0
